status,graceSku,family,stored_1pc,live_1pc,diff_1pc,stored_12pc,live_12pc,diff_12pc,live_stock,url
MISMATCH_BOTH,AB-ALU-CLR-120ML-LPM-WHT,Aluminum Bottle,1.3,0.35,0.95,1.24,0.33,0.91,Out of Stock,https://www.bestbottles.com/all-bottles/lotion-pump-cream-jars/lotion-pumps-bottles.php
MISMATCH_BOTH,AB-ALU-CLR-250ML-SPR-BLK,Aluminum Bottle,1.95,1.5,0.45,1.85,1.43,0.42,,https://www.bestbottles.com/product/Cylinder-shaped-matte-aluminum-250ml-bottle-black-sprayer
MISMATCH_BOTH,CJ-JAR-60ML-WHT,Cream Jar,0.1,0.2,0.1,0.09,0.19,0.1,,https://www.bestbottles.com/all-bottles/accessories/caps-plugs-sprayers.php
MISMATCH_BOTH,GB-BSR-AMB-15ML-BLK-T-02,Boston Round,0.67,0.82,0.15,0.64,0.78,0.14,,https://www.bestbottles.com/product/boston-round-design-15-ml-amber-glass-bottle-black-dropper-shiny-gold-trim-cap
MISMATCH_BOTH,GB-BSR-AMB-15ML-BLK-T-03,Boston Round,0.67,0.82,0.15,0.64,0.78,0.14,,https://www.bestbottles.com/product/boston-round-design-15-ml-amber-glass-bottle-black-dropper-shiny-silver-trim-cap
MISMATCH_BOTH,GB-BSR-AMB-15ML-WHT-T-02,Boston Round,0.67,0.82,0.15,0.64,0.78,0.14,,https://www.bestbottles.com/product/boston-round-design-15-ml-amber-glass-bottle-white-dropper-shiny-gold-trim-cap
MISMATCH_BOTH,GB-BSR-AMB-15ML-WHT-T-03,Boston Round,0.67,0.82,0.15,0.64,0.78,0.14,,https://www.bestbottles.com/product/boston-round-design-15-ml-amber-glass-bottle-white-dropper-shiny-silver-trim-cap
MISMATCH_BOTH,GB-BSR-AMB-30ML-MRL-SBLK,Boston Round,0.72,0.0,0.72,0.68,0.0,0.68,,https://www.bestbottles.com/product/boston-round-design-1-oz-amber-glass-bottle-metal-roller-ball-shiny-black-cap
MISMATCH_BOTH,GB-BSR-AMB-30ML-MRL-SSLV,Boston Round,0.72,1.07,0.35,0.68,1.02,0.34,,https://www.bestbottles.com/product/boston-round-design-1-oz-amber-glass-bottle-metal-roller-ball-shiny-silver-cap
MISMATCH_BOTH,GB-BSR-AMB-30ML-RBL-SBLK,Boston Round,0.92,0.0,0.92,0.87,0.0,0.87,,https://www.bestbottles.com/product/Boston-Round-Amber-Glass-Roll-on-Bottle-Shiny-Black-Cap-1oz
MISMATCH_BOTH,GB-BSR-AMB-30ML-WHT-T-01,Boston Round,0.75,0.72,0.03,0.71,0.68,0.03,,https://www.bestbottles.com/product/boston-round-design-1-oz-amber-glass-bottle-white-dropper
MISMATCH_BOTH,GB-BSR-AMB-30ML-WHT-T-02,Boston Round,0.72,0.87,0.15,0.68,0.83,0.15,,https://www.bestbottles.com/product/boston-round-design-1-oz-amber-glass-bottle-white-dropper-shiny-gold-trim-cap
MISMATCH_BOTH,GB-BSR-AMB-60ML-MRL-MGLD,Boston Round,0.75,1.1,0.35,0.71,1.05,0.34,,https://www.bestbottles.com/product/boston-round-2-oz-amber-glass-bottle-metal-roller-ball-matte-gold-cap
MISMATCH_BOTH,GB-BSR-AMB-60ML-MRL-MSLV,Boston Round,0.75,1.1,0.35,0.71,1.05,0.34,,https://www.bestbottles.com/product/boston-round-2-oz-amber-glass-bottle-metal-roller-ball-matte-silver-cap
MISMATCH_BOTH,GB-BSR-AMB-60ML-MRL-SSLV,Boston Round,0.75,1.1,0.35,0.71,1.05,0.34,,https://www.bestbottles.com/product/boston-round-2-oz-amber-glass-bottle-metal-roller-ball-shiny-silver-cap
MISMATCH_BOTH,GB-BSR-AMB-60ML-WHT-T-01,Boston Round,0.85,0.75,0.1,0.81,0.71,0.1,,https://www.bestbottles.com/product/boston-round-2-oz-amber-glass-bottle-white-dropper
