issueType,field,productId,graceSku,websiteSku,family,capacityMl,rawValue,canonicalValue,note
image_prompt_blocked,promptMissingFields,BB-GB-001-0002,GB-VIA-AMB-1ML-WHT-T,GB1mlAmbVialWht,Vial,1,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-001-0003,GB-VIA-CLR-1ML-BLK-T,GB1mlVBlk,Vial,1,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-002-0002,GB-VIA-CLR-2ML-S-02,GBVAmb2WhtCap,Vial,2,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-002-0004,GB-VIA-CLR-2ML-WHT-T,GBVialClr2mlWhtCap,Vial,2,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-003-0004,GB-VIA-CLR-3ML-GRN-S,GBVGreen2o4BlackCapSht,Vial,3,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-004-0010,GB-VIA-CLR-3ML-S-04,GBVAmb1DrmWhtCapSht,Vial,4,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-004-0007,GB-VIA-CLR-3ML-S-02,GBV1DrmWhtCapSht,Vial,4,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-004-0013,GB-VIA-CLR-3ML-S-06,GBVBlu1DrmWhtCapSht,Vial,4,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-004-0015,GB-VIA-CLR-3ML-S-08,GBVGr1DrmWhtCapSht,Vial,4,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-DR-000-0081,CMP-DRP-BKSL-20400-90,Drp20-4002ozShnSlTrimBlkBulb,Dropper,0,hasHeightWithoutCap,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-CL-000-0217,CMP-CAP-SSLV-8425-T,CP8-425TallShnSl,Cap/Closure,0,hasHeightWithoutCap,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-CL-000-0216,CMP-CAP-SGLD-8425-T,CP8-425TallShnGl,Cap/Closure,0,hasHeightWithoutCap,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-RC-000-0073,CMP-CAP-WHT-S-13-415,CP13-415WhtSht,Roll-On Cap,0,hasHeightWithoutCap,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-RC-000-0064,CMP-CAP-SLV-13-415-01,CP13-415Sl,Roll-On Cap,0,hasCapStyle | hasHeightWithoutCap,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-RC-000-0063,CMP-CAP-SGLD-13-415-01,CP13-415Gl,Roll-On Cap,0,hasCapStyle | hasHeightWithoutCap,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-RC-000-0007,CMP-ROC-SLV-13415-DOT,CPRoll13-415SlDot,Roll-On Cap,0,hasHeightWithoutCap,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-RC-000-0008,CMP-ROC-MSLV-13415,CPRoll13-415SlMt,Roll-On Cap,0,hasHeightWithoutCap,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-005-0069,GB-SLK-CLR-5ML-GLD-T,GBSleek5Gl,Sleek,5,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-RC-000-0006,CMP-ROC-PNK-13415-DOT,CPRoll13-415PinkDot,Roll-On Cap,0,hasHeightWithoutCap,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-005-0088,GB-SLK-CLR-5ML-SLV-T,GBSleek5Sl,Sleek,5,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-RC-000-0004,CMP-ROC-MGLD-13415,CPRoll13-415GlMt,Roll-On Cap,0,hasHeightWithoutCap,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-005-0097,GB-SLK-WHT-5ML-WHT-S,GBSleek5WhtSht,Sleek,5,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-RC-000-0009,CMP-ROC-SSLV-13415,CPRoll13-415SlSh,Roll-On Cap,0,hasHeightWithoutCap,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-005-0099,GB-CYL-AMB-5ML-GLD-T,GBTulipAmb5Gl,Tulip,5,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-RC-000-0003,CMP-ROC-MCPR-13415,CPRoll13-415Cu,Roll-On Cap,0,hasHeightWithoutCap,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-005-0118,GB-CYL-AMB-5ML-SLV-T,GBTulipAmb5Sl,Tulip,5,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-RC-000-0005,CMP-ROC-SGLD-13415,CPRoll13-415GlSh,Roll-On Cap,0,hasHeightWithoutCap,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-005-0127,GB-CYL-AMB-5ML-WHT-S,GBTulipAmb5WhtSht,Tulip,5,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-RC-000-0002,CMP-ROC-SBLK-13415,CPRoll13-415BlkSh,Roll-On Cap,0,hasHeightWithoutCap,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-006-0003,GB-CYL-CLR-6ML-GLD-T,GBTulip6Gl,Tulip,6,hasApplicator,,Required prompt fields are missing for automated image generation.
color_raw_missing,color,BB-SP-000-0123,CMP-SPR-MTCP-13-415-07,CP13-415SpryCuMt,Sprayer,0,,,Canonical color differs from or augments source color evidence.
image_prompt_blocked,promptMissingFields,BB-SP-000-0123,CMP-SPR-MTCP-13-415-07,CP13-415SpryCuMt,Sprayer,0,hasApplicator | hasHeightWithoutCap | hasCanonicalColor,,Required prompt fields are missing for automated image generation.
