sourceSystem,sourceId,threadSize,bottleName,bottleCode,familyHint,capacityMl,Bulb Sprayer,Dropper,Lotion Pump,Reducer,Roll-On Cap,Roller Plug (Metal),Roller Plug (Plastic),Short Cap with Liner,Sprayer,Tall Cap with Liner
convex.fitments,k9790rc73wdvptyjnjmsn05w5s81tp6n,18-415,Slim 30ml,,slim,30,✓,✓,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k979gz4zqppfm04w0a21vr6cts81tb44,18-415,Sleek 30ml,,sleek,30,✓,—,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k9766zs7z2ycbs01jqxp97a9ys81v326,18-415,Cylinder 30ml,,cylinder,30,✓,✓,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k970vt4jgd182spepbj921zfax81vjnx,18-415,Diva 30ml,,diva,30,✓,—,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k97ehz7y7qf94hp5f9pp7e7ph181tvvw,18-415,Diva 46ml,,diva,46,✓,✓,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k97fvs488ahx3ad29wjh10k33s81thqb,18-415,Diva 46 Frosted,,diva,,✓,✓,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k9714t4vsbdr91ea0e9vx1yhcs81vx4s,18-415,Empire 50ml,,empire,50,✓,✓,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k974rk8p6qa1k6tb9696c0jvv581v0t6,18-415,Circle 50ml,,circle,50,✓,✓,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k972cqc88emrt9zqf8hetktx0h81tc7g,18-415,Circle 50ml Frosted,,circle,50,✓,—,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k97fwkx6q09chxbt1ayx4aq3g981twa3,18-415,Slim 50ml,,slim,50,✓,—,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k975fv3vf080nv8jy44gsw3rth81vsg2,18-415,Sleek 50ml,,sleek,50,✓,—,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k971etbt0hjqk9rr76tx9a8gtx81tgj8,18-415,Cylinder 50ml,,cylinder,50,✓,—,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k976w04aqw0x6tnftvnept3w7181vg3y,18-415,Elegant 2oz,,elegant,59,✓,✓,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k9707db4735yg1qy1fwft0thxs81v8nb,18-415,Elegant 2oz Frosted,,elegant,59,✓,✓,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k977m6560gz1054d668jcs6ck581tcdp,18-415,Diamond 2oz,,diamond,59,✓,✓,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k97449w9cq64x871khsadktf6581tjmp,18-415,Round 78ml,,round,78,✓,✓,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k9740q4acq4nyyjfy3qkb6mv8x81trb6,18-415,Round 78ml Frosted,,round,78,✓,✓,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k971g5fph9tfx9yg71ft899he581vv91,18-415,Empire 100ml,,empire,100,✓,—,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k970qe0k94k4chg4wem6at87z581v0y2,18-415,Elegant 100ml,,elegant,100,✓,—,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k97bbwb3hw6y1ghkf98s33rgq181v0gp,18-415,Elegant 100m Frosted,,elegant,,✓,—,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k97d09ey396xj41s475nxvd9ax81vt03,18-415,Diva 100ml,,diva,100,✓,—,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k97fj33qd7cmf3vsg5ys1e4q4n81ts10,18-415,Circle 100ml,,circle,100,✓,—,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k974ymtg77vxjgh70sc6tk10xs81vqmq,18-415,Circle 100ml Frosted,,circle,100,✓,—,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k97610s73z60g0vgps16ayrvas81t3p8,18-415,Slim 100ml,,slim,100,✓,—,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k975nvp062d0m6ngk79bhasyt181vnxg,18-415,Sleek 100ml,,sleek,100,✓,—,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k978hyx75dr7gb21kcwatbxdc981vff1,18-415,Cylinder 100ml,,cylinder,100,✓,—,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k975qffa5r4z8xd4rh48vnwmws81v1bx,18-415,Round 128ml,,round,128,✓,—,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k97b3eeas7pvaxvdhk622qkznd81vpej,18-415,Round 128ml Frosted,,round,128,✓,—,✓,✓,—,—,—,✓,✓,✓
convex.fitments,k9704kz9n0045r5f80dksssax581v6ce,13-415,Cyl Clear 5ml,,cylinder,5,—,—,—,✓,✓,✓,✓,✓,✓,✓
convex.fitments,k976796tsxzwry5pzrsyhh2epn81tqnr,13-415,Cyl Blue 5ml,,cylinder,5,—,—,—,✓,✓,✓,✓,✓,✓,✓
