generationBatchId,dataLockStatus,familyCanonical,familyCode,productGroupKey,productSlug,productTitle,capacityMl,glassColorCanonical,glassColorCode,neckThreadSize,applicatorCanonical,applicatorCode,primaryOptionName,primaryOptionValue,primaryOptionCode,secondaryOptionName,secondaryOptionValue,secondaryOptionCode,graceSku,websiteSku,shopifyProductId,shopifyVariantId,convexProductId,convexProductGroupId,imageRole,outputFilename,outputWidth,outputHeight,sourceReferencePath,status,blockerNotes
2026-05-14-stakeholder-review,review,Atomizer,ATOM,atomizer-5ml,atomizer-5ml,"Black slim atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each",5,Black,BLK,10mm,Atomizer,ATM,Glass Color,Black,BLK,Cap Color,Black,BLK,GB-SLM-BLK-5ML-ATM-BLK-T,GBAtom5SlimBlk,,,kd77xhxwvaaj6h076rxm8hhffh81vpmb,kh72145wh6ae44by9aqgb8js5n83k4xp,pdp-main,GB-SLM-BLK-5ML-ATM-BLK-T__GBAtom5SlimBlk__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/black-slim-atomizer-design-5-ml-bottle,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Royal,ROYA,royal-13ml-clear-13-415-rollon,royal-13ml-clear-13-415-rollon,"Royal design 13ml, 1/2oz Clear glass bottle with plastic roller ball plug and silver cap with dots. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Pr",13,Clear,CLR,13-415,Plastic Roller Ball,ROL,Glass Color,Clear,CLR,Cap Color,Silver Dotted,SILV,GB-RYL-CLR-13ML-ROL-SLDT,GBRoyal13RollSlDot,,,kd7bnt9t66gsktd634vd9w9xj181t3k3,kh7bzk4pcpdzz72zde9zvda1sn83jk0z,pdp-main,GB-RYL-CLR-13ML-ROL-SLDT__GBRoyal13RollSlDot__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/royal-design-13-ml-glass-bottle-plastic-roller-ball-plug-silver-cap-with-dots,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Circle,CIRC,circle-100ml-clear-18-415-lotionpump,circle-100ml-clear-18-415-lotionpump,"Circle design 100 ml, 3 1/2oz clear glass bottle with with a matte silver collar treatment pump and clear overcap. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Circle de",100,Clear,CLR,18-415,Lotion Pump,PMP,Glass Color,Clear,CLR,Cap Color,Clear Overcap,CLEA,LB-CIR-CLR-100ML-LPM-COCP,LBCrcl100LtnClOvrCap,,,kd7ft72k2rtbzcgr5zbpm1rgfx81v6rk,kh77b97zrmx6rxnzp32j65rr3983j333,pdp-main,LB-CIR-CLR-100ML-LPM-COCP__LBCrcl100LtnClOvrCap__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Round,ROUN,round-78ml-frosted-18-415-reducer,round-78ml-frosted-18-415-reducer,"Round design 78 ml, 2.65oz frosted glass bottle with reducer and tall silver matte cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Round design bottle is available in 2 sizes - 78ml and 128 ml. Price each",78,Frosted,FRO,18-415,Reducer,RED,Glass Color,Frosted,FRO,Cap Color,Matte Silver,MATT,GB-RND-FRS-78ML-RDC-MSLV-T,GBRndFrst78RdcrMtSlTall,,,kd7b51vdfv4fcnb1n5rw5wetjh81tad7,kh75ft9jr72fvjnrbhxw4z160x83jazc,pdp-main,GB-RND-FRS-78ML-RDC-MSLV-T__GBRndFrst78RdcrMtSlTall__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/round-design-78-ml-frosted-glass-bottle-reducer-tall-silver-matte-cap,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Empire,EMPI,empire-50ml-clear-18-415-antiquespray-tassel,empire-50ml-clear-18-415-antiquespray-tassel,"Empire design 50 ml, 1.7oz  clear glass bottle  with Red vintage style bulb sprayer with tassel with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance",50,Clear,CLR,18-415,Vintage Bulb Sprayer with Tassel,SPR,Glass Color,Clear,CLR,Cap Color,Red,RED,GB-EMP-CLR-50ML-AST-RED,GBEmp50AnSpTslRed,,,kd7c0tyerc298ycergejkg3s4x81t6vz,kh754mdvzqqv480e7k365a00n583jmk2,pdp-main,GB-EMP-CLR-50ML-AST-RED__GBEmp50AnSpTslRed__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/empire-design-50-ml-glass-bottle-red-vintage-style-sprayer-with-tassel-shiny-silver-collar,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Round,ROUN,round-128ml-frosted-18-415-antiquespray,round-128ml-frosted-18-415-antiquespray,"Round design 128 ml, 4.33oz frosted glass bottle with red vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty",128,Frosted,FRO,18-415,Vintage Bulb Sprayer,SPR,Glass Color,Frosted,FRO,Cap Color,Red,RED,GB-RND-FRS-128ML-ASP-RED,GBRndFrst128AnSpRed,,,kd78ng588j2ey7c7t4gx7wczax81tkt2,kh7evx5rfsypynvncd80m8ybe583jqk7,pdp-main,GB-RND-FRS-128ML-ASP-RED__GBRndFrst128AnSpRed__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/round-design-128-ml-frosted-glass-bottle-red-vintage-style-bulb-sprayer-shiny-silver-collar-cap,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Elegant,ELEG,elegant-100ml-frosted-18-415-lotionpump,elegant-100ml-frosted-18-415-lotionpump,"Elegant design 100 ml, 3 1/2oz frosted glass bottle with matte gold lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Elegant bottle is a family of bottles avail",100,Frosted,FRO,18-415,Lotion Pump,PMP,Glass Color,Frosted,FRO,Cap Color,Matte Gold,MATT,LB-ELG-FRS-100ML-LPM-MGLD,LBElgFrst100LtnMtGl,,,kd796ntre7pq7c689j70xdf6j181vx03,kh77570xf8qd9tkcbf1npg8d8983jyed,pdp-main,LB-ELG-FRS-100ML-LPM-MGLD__LBElgFrst100LtnMtGl__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-matte-gold-lotion-pump-and-cap,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Atomizer,ATOM,atomizer-5ml,atomizer-5ml,"Gold slim atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each",5,Clear,CLR,10mm,Atomizer,ATM,Glass Color,Clear,CLR,Cap Color,Gold,GOLD,GB-SLM-CLR-5ML-ATM-GLD-T,GBAtom5SlimGl,,,kd757kp2csjatf0jazckqzmjd181trbn,kh72145wh6ae44by9aqgb8js5n83k4xp,pdp-main,GB-SLM-CLR-5ML-ATM-GLD-T__GBAtom5SlimGl__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/gold-slim-atomizer-design-5-ml-bottle,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Circle,CIRC,circle-100ml-frosted-18-415-lotionpump,circle-100ml-frosted-18-415-lotionpump,"Circle design 100 ml, 3 1/2oz frosted glass bottle with with a matte silver collar treatment pump and clear overcap. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Circle",100,Frosted,FRO,18-415,Lotion Pump,PMP,Glass Color,Frosted,FRO,Cap Color,Clear Overcap,CLEA,LB-CIR-FRS-100ML-LPM-COCP,LBCrclFrst100LtnClOvrCap,,,kd73z6hnvydd6r1z0n8xwc31hs81v8qh,kh7d5427c8pnrethv8qaapgpzs83kbn6,pdp-main,LB-CIR-FRS-100ML-LPM-COCP__LBCrclFrst100LtnClOvrCap__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Royal,ROYA,royal-13ml-clear-13-415-rollon,royal-13ml-clear-13-415-rollon,"Royal design 13ml, 1/2oz Clear glass bottle with plastic roller ball plug and matte silver cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price",13,Clear,CLR,13-415,Plastic Roller Ball,ROL,Glass Color,Clear,CLR,Cap Color,Matte Silver,MATT,GB-RYL-CLR-13ML-ROL-MSLV,GBRoyal13RollSlMatt,,,kd7f3cpqa6yfmrbnntkj722xf581v0zx,kh7bzk4pcpdzz72zde9zvda1sn83jk0z,pdp-main,GB-RYL-CLR-13ML-ROL-MSLV__GBRoyal13RollSlMatt__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/royal-design-13-ml-glass-bottle-plastic-roller-ball-plug-matte-silver-cap,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Round,ROUN,round-78ml-frosted-18-415-reducer,round-78ml-frosted-18-415-reducer,"Round design 78 ml, 2.65oz frosted glass bottle with reducer and silver matte cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Round design bottle is available in 2 sizes - 78ml and 128 ml. Price each",78,Frosted,FRO,18-415,Reducer,RED,Glass Color,Frosted,FRO,Cap Color,Matte Silver,MATT,GB-RND-FRS-78ML-RDC-MSLV,GBRndFrst78RdcrMtSl,,,kd7090fm9h7r26h1qh1wfdtqqx81veeb,kh75ft9jr72fvjnrbhxw4z160x83jazc,pdp-main,GB-RND-FRS-78ML-RDC-MSLV__GBRndFrst78RdcrMtSl__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/round-design-78-ml-frosted-glass-bottle-reducer-silver-matte-cap,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Square,SQUA,square-15ml-clear-13-415-rollon,square-15ml-clear-13-415-rollon,"Square design 15ml, 1/2oz Clear glass bottle with metal roller ball plug and black shiny cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price ea",15,Clear,CLR,13-415,Metal Roller Ball,ROL,Glass Color,Clear,CLR,Cap Color,Shiny Black,SHIN,GB-SQR-CLR-15ML-MRL-SBLK,GBSqr15MtlRollBlkSh,,,kd751q7knfv77xkp1njk95ka4981vfa8,kh7473acgn17bezn15v49abs0583jrdk,pdp-main,GB-SQR-CLR-15ML-MRL-SBLK__GBSqr15MtlRollBlkSh__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/square-design-15-ml-glass-bottle-metal-roller-ball-plug-black-shiny-cap,ready_for_prompt_review,
